time,time_count,voltage,current,temp,soc
18:16:57,366sec,11.67,0.21,25,74.2
18:16:57,367sec,11.65,0.41,25,73.6
18:16:59,368sec,11.55,0.31,25,70.8
18:16:59,369sec,11.51,1.14,25,69.7
18:17:01,370sec,11.34,1.83,25,65
18:17:01,371sec,11.35,1.64,25,65.3
18:17:03,372sec,11.49,1.18,25,69.2
18:17:03,373sec,11.59,0.35,25,71.9
18:17:05,374sec,11.66,0,25,73.9
18:17:05,375sec,11.52,0.23,25,70
18:17:07,376sec,11.71,0.25,25,75.3
18:17:09,378sec,11.67,0.21,25,74.2
18:17:09,378sec,11.25,2.24,25,62.5
18:17:10,379sec,11.43,1.11,25,67.5
18:17:11,380sec,11.37,2.03,25,65.8
18:17:12,381sec,11.34,2.13,25,65
18:17:13,382sec,11.3,2.53,25,63.9
18:17:14,383sec,11.36,1.77,25,65.6
18:17:15,384sec,11.63,0.43,25,73.1
18:17:16,385sec,11.68,0,25,74.4
18:17:17,386sec,11.64,0.39,25,73.3
18:17:18,387sec,11.56,0.64,25,71.1
18:17:19,388sec,11.4,1.69,25,66.7
18:17:20,389sec,11.34,2.4,25,65
18:17:21,390sec,11.29,2.44,25,63.6
18:17:22,391sec,11.4,1.84,25,66.7
18:17:23,392sec,11.51,1.13,25,69.7
18:17:24,393sec,11.63,0.43,25,73.1
18:17:25,394sec,11.58,0,25,71.7
18:17:26,395sec,11.63,0,25,73.1
18:17:27,396sec,11.56,0.59,25,71.1
18:17:28,397sec,11.42,1.62,25,67.2
18:17:29,398sec,11.41,1.94,25,66.9
18:17:30,399sec,11.29,2.13,25,63.6
18:17:31,400sec,11.46,1.22,25,68.3
18:17:32,401sec,11.59,0.45,25,71.9
18:17:33,402sec,11.64,0,25,73.3
18:17:34,403sec,11.61,0.22,25,72.5
18:17:35,404sec,11.62,0.3,25,72.8
18:17:36,405sec,11.42,1.25,25,67.2
18:17:37,406sec,11.34,1.6,25,65
18:17:38,407sec,11.39,1.76,25,66.4
18:17:39,408sec,11.4,1.55,25,66.7
18:17:40,409sec,11.48,0.57,25,68.9
18:17:41,410sec,11.62,0,25,72.8
18:17:42,411sec,11.67,0.3,25,74.2
18:17:43,412sec,11.66,0.38,25,73.9
18:17:44,413sec,11.53,0.32,25,70.3
18:17:45,414sec,11.41,1.23,25,66.9
18:17:46,415sec,11.31,1.37,25,64.2
18:17:47,416sec,11.31,1.87,25,64.2
18:17:48,417sec,11.46,0.81,25,68.3
18:17:49,418sec,11.54,0.32,25,70.6
18:17:50,419sec,11.64,0.22,25,73.3
18:17:51,420sec,11.72,0.24,25,75.6
18:17:52,421sec,11.65,0.35,25,73.6
18:17:53,422sec,11.68,0.47,25,74.4
18:17:54,423sec,11.7,0.38,25,75
18:17:55,424sec,11.54,0,25,70.6
18:17:56,425sec,11.62,0,25,72.8
18:17:57,426sec,11.62,0.44,25,72.8
18:17:58,427sec,11.58,0,25,71.7
18:17:59,428sec,11.64,0.42,25,73.3
18:18:00,429sec,11.65,0.4,25,73.6
18:18:01,430sec,11.58,0.51,25,71.7
18:18:02,431sec,11.6,0.25,25,72.2
18:18:03,432sec,11.67,0.32,25,74.2
18:18:04,433sec,11.59,0.21,25,71.9
18:18:05,434sec,11.65,0.47,25,73.6
18:18:06,435sec,11.55,0,25,70.8
18:18:07,436sec,11.57,0.25,25,71.4
18:18:08,437sec,11.61,0.37,25,72.5
18:18:09,438sec,11.56,0.41,25,71.1
18:18:10,439sec,11.54,0.52,25,70.6
18:18:11,440sec,11.39,1.19,25,66.4
18:18:12,441sec,11.33,1.31,25,64.7
18:18:13,442sec,11.44,1.51,25,67.8
18:18:14,443sec,11.47,0.65,25,68.6
18:18:15,444sec,11.56,0.21,25,71.1
18:18:16,445sec,11.61,0.34,25,72.5
18:18:17,446sec,11.61,0.33,25,72.5
18:18:18,447sec,11.55,0,25,70.8
18:18:19,448sec,11.43,1.02,25,67.5
18:18:20,449sec,11.31,1.57,25,64.2
18:18:21,450sec,11.32,1.19,25,64.4
18:18:22,451sec,11.42,0.64,25,67.2
18:18:23,452sec,11.5,0.26,25,69.4
18:18:24,453sec,11.35,1.51,25,65.3
18:18:25,454sec,11.62,0.49,25,72.8
18:18:26,455sec,11.59,0,25,71.9
18:18:27,456sec,11.51,0.44,25,69.7
18:18:28,457sec,11.36,1.68,25,65.6
18:18:29,458sec,11.36,1.57,25,65.6
18:18:30,459sec,11.42,1.51,25,67.2
18:18:31,460sec,11.41,0.44,25,66.9
18:18:32,461sec,11.52,0,25,70
18:18:33,462sec,11.61,0.59,25,72.5
18:18:34,463sec,11.53,0.62,25,70.3
18:18:35,464sec,11.48,0,25,68.9
18:18:36,465sec,11.4,0.91,25,66.7
18:18:37,466sec,11.32,1.37,25,64.4
18:18:38,467sec,11.35,1.16,25,65.3
18:18:39,468sec,11.39,0.92,25,66.4
18:18:40,469sec,11.46,0,25,68.3
18:18:41,470sec,11.59,0.29,25,71.9
18:18:42,471sec,11.54,0.34,25,70.6
18:18:43,472sec,11.53,0,25,70.3
18:18:44,473sec,11.6,0.41,25,72.2
18:18:45,474sec,11.66,0.43,25,73.9
18:18:46,475sec,11.56,0.56,25,71.1
18:18:47,476sec,11.56,0,25,71.1
18:18:48,477sec,11.58,0.5,25,71.7
18:18:49,478sec,11.47,0.25,25,68.6
18:18:50,479sec,11.55,0.49,25,70.8
18:18:51,480sec,11.58,0.49,25,71.7
18:18:52,481sec,11.6,0.36,25,72.2
18:18:53,482sec,11.58,0.51,25,71.7
18:18:54,483sec,11.64,0.43,25,73.3
18:18:55,484sec,11.55,0,25,70.8
18:18:56,485sec,11.52,0,25,70
18:18:57,486sec,11.59,0.46,25,71.9
18:18:58,487sec,11.59,0.42,25,71.9
18:18:59,488sec,11.6,0.52,25,72.2
18:19:00,489sec,11.59,0.23,25,71.9
18:19:01,490sec,11.56,0.29,25,71.1
18:19:02,491sec,11.53,0.36,25,70.3
18:19:03,492sec,11.56,0,25,71.1
18:19:04,493sec,11.59,0,25,71.9
18:19:05,494sec,11.56,0.43,25,71.1
18:19:06,495sec,11.51,0.43,25,69.7
18:19:07,496sec,11.51,0.4,25,69.7
18:19:08,497sec,11.59,0.36,25,71.9
18:19:09,498sec,11.46,0.25,25,68.3
18:19:10,499sec,11.38,0.8,25,66.1
18:19:11,500sec,11.38,1.55,25,66.1
18:19:12,501sec,11.32,1.39,25,64.4
18:19:13,502sec,11.32,1.16,25,64.4
18:19:14,503sec,11.48,0,25,68.9
18:19:15,504sec,11.58,0.26,25,71.7
18:19:16,505sec,11.53,0,25,70.3
18:19:17,506sec,11.56,0,25,71.1
18:19:18,507sec,11.43,0.72,25,67.5
18:19:19,508sec,11.42,1.54,25,67.2
18:19:20,509sec,11.41,1.47,25,66.9
18:19:21,510sec,11.31,1.33,25,64.2
18:19:22,511sec,11.48,0.81,25,68.9
18:19:23,512sec,11.52,0.24,25,70
18:19:24,513sec,11.57,0.32,25,71.4
18:19:25,514sec,11.51,0.23,25,69.7
18:19:26,515sec,11.51,0,25,69.7
18:19:27,516sec,11.38,0.8,25,66.1
18:19:28,517sec,11.29,1.64,25,63.6
18:19:29,518sec,11.3,1.48,25,63.9
18:19:30,519sec,11.35,1.08,25,65.3
18:19:31,520sec,11.49,0,25,69.2
18:19:32,521sec,11.56,0.4,25,71.1
18:19:33,522sec,11.59,0.37,25,71.9
18:19:34,523sec,11.52,0,25,70
18:19:35,524sec,11.58,0.33,25,71.7
18:19:36,525sec,11.57,0.23,25,71.4
18:19:37,526sec,11.54,0.6,25,70.6
18:19:38,527sec,11.54,0.27,25,70.6
18:19:39,528sec,11.48,0.24,25,68.9
18:19:43,532sec,11.57,0.23,25,71.4
18:19:43,532sec,11.31,1.31,25,64.2
18:19:44,533sec,11.48,0.62,25,68.9
18:19:45,534sec,11.55,0.25,25,70.8
18:19:46,535sec,11.29,1.73,25,63.6
18:19:47,536sec,11.39,0.84,25,66.4
18:19:48,537sec,11.44,0,25,67.8
18:19:49,538sec,11.57,0.5,25,71.4
18:19:50,539sec,11.53,0.44,25,70.3
18:19:51,540sec,11.54,0,25,70.6
18:19:52,541sec,11.4,0.8,25,66.7
18:19:53,542sec,11.35,1.34,25,65.3
18:19:54,543sec,11.38,1.15,25,66.1
18:19:55,544sec,11.41,0.85,25,66.9
18:19:56,545sec,11.53,0.52,25,70.3
18:19:57,546sec,11.51,0,25,69.7
18:19:58,547sec,11.58,0.32,25,71.7
18:19:59,548sec,11.53,0.43,25,70.3
18:20:00,549sec,11.47,0,25,68.6
18:20:01,550sec,11.35,0.7,25,65.3
18:20:02,551sec,11.32,1.33,25,64.4
18:20:03,552sec,11.31,1.68,25,64.2
18:20:04,553sec,11.44,0.94,25,67.8
18:20:05,554sec,11.48,0.21,25,68.9
18:20:06,555sec,11.53,0.46,25,70.3
18:20:07,556sec,11.61,0.56,25,72.5
18:20:08,557sec,11.55,0,25,70.8
18:20:09,558sec,11.43,0.68,25,67.5
18:20:10,559sec,11.32,1.34,25,64.4
18:20:11,560sec,11.35,1.16,25,65.3
18:20:12,561sec,11.35,1.17,25,65.3
18:20:13,562sec,11.46,0.53,25,68.3
18:20:14,563sec,11.58,0.31,25,71.7
18:20:15,564sec,11.57,0.49,25,71.4
18:20:16,565sec,11.58,0.48,25,71.7
18:20:17,566sec,11.47,0,25,68.6
18:20:18,567sec,11.41,0.99,25,66.9
18:20:19,568sec,11.32,1.09,25,64.4
18:20:20,569sec,11.23,1.44,25,61.9
18:20:21,570sec,11.38,0.64,25,66.1
18:20:22,571sec,11.47,0,25,68.6
18:20:23,572sec,11.55,0.6,25,70.8
18:20:24,573sec,11.17,2.1,25,60.3
18:20:25,574sec,11.54,0,25,70.6
18:20:26,575sec,11.44,0.5,25,67.8
18:20:27,576sec,11.3,1.09,25,63.9
18:20:28,577sec,11.31,1.32,25,64.2
18:20:29,578sec,11.29,1.21,25,63.6
18:20:30,579sec,11.5,0.53,25,69.4
18:20:31,580sec,11.5,0.26,25,69.4
18:20:32,581sec,11.57,0.49,25,71.4
18:20:33,582sec,11.53,0.53,25,70.3
18:20:34,583sec,11.42,0,25,67.2
18:20:35,584sec,11.29,0.91,25,63.6
18:20:36,585sec,11.23,1.42,25,61.9
18:20:37,586sec,11.29,1.06,25,63.6
18:20:38,587sec,11.4,0.54,25,66.7
18:20:39,588sec,11.45,0,25,68.1
18:20:40,589sec,11.55,0.73,25,70.8
18:20:41,590sec,11.54,0.57,25,70.6
18:20:42,591sec,11.56,0,25,71.1
18:20:43,592sec,11.44,0.25,25,67.8
18:20:44,593sec,11.32,1.41,25,64.4
18:20:45,594sec,11.31,1.35,25,64.2
18:20:46,595sec,11.34,1.33,25,65
18:20:47,596sec,11.39,0.29,25,66.4
18:20:48,597sec,11.55,0.22,25,70.8
18:20:49,598sec,11.57,0.44,25,71.4
