Time (s),Voltage (V),Current (A),Temp (C)
413.42,9.99,0.75,25.0
414.50,10.02,0.73,25.0
415.58,10.02,0.73,25.0
416.67,10.01,0.74,25.0
417.75,10.03,0.78,25.0
418.83,9.97,0.78,25.0
419.91,10.04,0.73,25.0
421.00,10.01,0.75,25.0
422.08,10.04,0.71,25.0
423.16,10.02,0.74,25.0
424.24,10.01,0.76,25.0
425.33,10.03,0.73,25.0
426.41,10.02,0.72,25.0
427.49,10.05,0.74,25.0
428.57,10.03,0.76,25.0
429.66,10.02,0.73,25.0
430.74,10.01,0.72,25.0
431.82,10.03,0.72,25.0
432.90,10.05,0.73,25.0
433.98,10.02,0.75,25.0
435.06,10.01,0.74,25.0
436.15,10.01,0.74,25.0
437.23,10.05,0.72,25.0
438.31,10.02,0.70,25.0
439.39,10.05,0.71,25.0
440.48,10.05,0.72,25.0
441.56,10.05,0.76,25.0
442.64,10.04,0.73,25.0
443.72,10.00,0.74,25.0
444.81,10.03,0.74,25.0
445.89,9.97,0.75,25.0
446.97,10.04,0.77,25.0
448.05,10.03,0.70,25.0
449.14,9.97,0.79,25.0
450.22,10.00,0.72,25.0
451.30,10.01,0.70,25.0
452.38,10.00,0.74,25.0
453.47,9.98,0.70,25.0
454.55,9.99,0.72,25.0
455.63,10.01,0.73,25.0
456.71,10.01,0.72,25.0
457.79,9.97,0.73,25.0
458.87,9.98,0.74,25.0
459.96,10.05,0.71,25.0
461.04,10.05,0.73,25.0
462.12,10.04,0.73,25.0
463.20,10.03,0.74,25.0
464.29,10.00,0.73,25.0
465.37,10.00,0.75,25.0
466.45,10.02,0.70,25.0
467.53,10.02,0.71,25.0
468.62,10.01,0.77,25.0
469.70,10.02,0.75,25.0
470.78,10.03,0.77,25.0
471.86,10.04,0.78,25.0
472.95,10.02,0.76,25.0
474.03,10.01,0.75,25.0
475.11,10.05,0.74,25.0
476.19,9.99,0.78,25.0
477.28,10.02,0.75,25.0
478.36,9.99,0.77,25.0
479.44,10.01,0.76,25.0
480.52,10.04,0.68,25.0
481.61,10.02,0.73,25.0
482.69,10.01,0.74,25.0
483.77,10.04,0.75,25.0
484.85,10.03,0.76,25.0
485.94,10.01,0.73,25.0
487.02,10.01,0.72,25.0
488.10,9.99,0.74,25.0
489.18,10.03,0.73,25.0
490.26,10.03,0.74,25.0
491.35,10.05,0.72,25.0
492.43,10.02,0.75,25.0
493.51,10.00,0.72,25.0
494.59,10.02,0.73,25.0
495.67,9.98,0.74,25.0
496.76,10.04,0.79,25.0
497.84,9.99,0.73,25.0
498.92,10.01,0.73,25.0
500.00,10.01,0.76,25.0
501.09,10.01,0.75,25.0
502.17,9.97,0.73,25.0
503.25,9.99,0.76,25.0
504.33,10.05,0.78,25.0
505.42,10.01,0.78,25.0
506.50,10.03,0.76,25.0
507.58,10.01,0.76,25.0
508.66,10.01,0.74,25.0
509.74,10.00,0.72,25.0
510.83,10.02,0.74,25.0
511.91,9.96,0.80,25.0
512.99,9.98,0.73,25.0
514.07,10.03,0.74,25.0
515.15,10.06,0.72,25.0
516.24,10.02,0.74,25.0
517.32,10.01,0.75,25.0
518.40,9.98,0.70,25.0
519.48,10.00,0.74,25.0
520.57,10.03,0.78,25.0
521.65,10.04,0.76,25.0
522.73,9.97,0.76,25.0
523.81,9.99,0.74,25.0
524.90,9.97,0.72,25.0
525.97,9.97,0.73,25.0
527.06,9.99,0.73,25.0
528.14,10.01,0.77,25.0
529.22,9.98,0.73,25.0
530.31,10.02,0.72,25.0
531.39,10.00,0.77,25.0
532.47,9.95,0.75,25.0
533.55,10.00,0.75,25.0
534.63,10.01,0.74,25.0
535.72,10.02,0.73,25.0
536.80,10.02,0.73,25.0
537.88,9.99,0.72,25.0
538.96,9.96,0.77,25.0
540.05,9.95,0.72,25.0
541.13,9.97,0.76,25.0
542.21,10.01,0.73,25.0
543.29,10.00,0.73,25.0
544.38,9.97,0.75,25.0
545.46,9.96,0.71,25.0
546.54,10.00,0.76,25.0
547.62,10.01,0.70,25.0
548.71,9.96,0.76,25.0
549.78,9.99,0.75,25.0
550.87,9.95,0.73,25.0
551.95,9.97,0.71,25.0
553.03,9.98,0.71,25.0
554.11,10.00,0.75,25.0
555.20,10.00,0.74,25.0
556.28,10.01,0.72,25.0
557.36,9.98,0.74,25.0
558.44,9.98,0.71,25.0
559.53,9.95,0.75,25.0
560.61,10.00,0.73,25.0
561.69,9.99,0.75,25.0
562.77,10.01,0.76,25.0
563.86,10.00,0.76,25.0
564.94,10.01,0.75,25.0
566.02,10.00,0.76,25.0
567.10,9.99,0.76,25.0
568.19,10.00,0.74,25.0
569.27,10.00,0.70,25.0
570.35,10.00,0.73,25.0
571.43,9.98,0.71,25.0
572.51,9.98,0.70,25.0
573.59,9.98,0.70,25.0
574.68,10.01,0.71,25.0
575.76,10.01,0.71,25.0
576.84,9.99,0.73,25.0
577.92,9.99,0.73,25.0
579.01,10.00,0.73,25.0
580.09,9.98,0.75,25.0
581.17,10.00,0.76,25.0
582.25,9.98,0.77,25.0
583.34,9.97,0.74,25.0
584.42,9.92,0.73,25.0
585.50,9.97,0.71,25.0
586.58,10.00,0.72,25.0
587.67,9.99,0.73,25.0
588.75,9.99,0.76,25.0
589.83,10.01,0.74,25.0
590.91,9.93,0.74,25.0
592.00,9.94,0.74,25.0
593.08,10.00,0.72,25.0
594.16,9.98,0.72,25.0
595.24,10.01,0.78,25.0
